region,weight
HexGrid_10590,0.013513513513513514
HexGrid_10591,0.0
HexGrid_10592,0.22972972972972974
HexGrid_10593,0.0945945945945946
HexGrid_10594,0.05405405405405406
HexGrid_10595,0.0
HexGrid_10596,0.0
HexGrid_10597,0.0
HexGrid_10598,0.0
HexGrid_10599,0.0
HexGrid_10600,0.0
HexGrid_10601,0.02702702702702703
HexGrid_10602,0.013513513513513514
HexGrid_10603,0.02702702702702703
HexGrid_10604,0.0
HexGrid_10605,0.0
HexGrid_10606,0.013513513513513514
HexGrid_10607,0.02702702702702703
HexGrid_10608,0.05405405405405406
HexGrid_10609,0.08108108108108109
HexGrid_10610,0.0945945945945946
HexGrid_10611,0.06756756756756757
HexGrid_10612,0.013513513513513514
HexGrid_10613,0.05405405405405406
HexGrid_10614,0.05405405405405406
HexGrid_10615,0.02702702702702703
HexGrid_10616,0.0
HexGrid_10617,0.0
HexGrid_10618,0.0
HexGrid_10619,0.0
HexGrid_10620,0.013513513513513514
HexGrid_10621,0.0
HexGrid_10622,0.0
HexGrid_10623,0.0
HexGrid_10624,0.0
HexGrid_10625,0.08108108108108109
HexGrid_10626,0.05405405405405406
HexGrid_10627,0.02702702702702703
HexGrid_10628,0.013513513513513514
HexGrid_10629,0.0
HexGrid_10630,0.05405405405405406
HexGrid_10631,0.20270270270270271
HexGrid_10632,0.05405405405405406
HexGrid_10633,0.0
HexGrid_10634,0.0
HexGrid_10635,0.0
HexGrid_10636,0.0
HexGrid_10637,0.0
HexGrid_10638,0.0
HexGrid_10639,0.0
HexGrid_10640,0.0
HexGrid_10641,0.0
HexGrid_10642,0.013513513513513514
HexGrid_10643,0.3108108108108108
HexGrid_10644,0.13513513513513514
HexGrid_10645,0.02702702702702703
HexGrid_10646,0.05405405405405406
HexGrid_10647,0.10810810810810811
HexGrid_10648,0.10810810810810811
HexGrid_10649,0.02702702702702703
HexGrid_10650,0.013513513513513514
HexGrid_10651,0.013513513513513514
HexGrid_10652,0.0
HexGrid_10653,0.0
HexGrid_10654,0.0
HexGrid_10655,0.0
HexGrid_10656,0.0
HexGrid_10657,0.0
HexGrid_10658,0.0
